2117;WANDRES;1;;;DORFSTRASSE 12;;D-79256;BUCHENBACH;DE;;;49766193300;;497661933030;;;;F01997;FR;;;0;1;1;;vciarniello;3;DE142211581;1;;;;;;;;;;0;0;0;;;;;;default
2118;WARNER ELECTRIC;1;;;BERGAMBACHTSTRAAT 14;;NL-3079;DA ROTTERDAM;NL;;;0031-104971111;;0031-104793568;;;;F01989;NL;;;0;1;1;;vciarniello;3;NL004147534B01;1;;;;;;;;;;0;0;0;;;;;;default
2119;WATCO INDUSTRIAL CLEANING;1;;;ZONING INDUSTRIEL 8;;B-4400;IVOZ-RAMET;BE;;;04-338.99.99;;04-338.24.44;;;;F01957;FR;;;0;1;1;;vciarniello;1;BE0416629153;1;;;;;;;;;;0;0;0;;;;;;default
2120;WATERKRACHT;1;;;MARKENWEG 1;;NL-7051;HS VARSSEVELD;NL;;;31315258181;;31315258191;;;PIECES PR POMPE FLEXOWASH;F02507;FR;;;0;1;1;;vciarniello;3;NL008815252B01;1;;;;;;;;;;0;0;0;;;;;;default
2121;WECHSELER YVES;1;;;RUE DE RECHAIN 11;;B-4820;DISON;BE;;;087-33.39.21;;087-33.39.22;;;;F01962;FR;;;0;1;1;;vciarniello;1;BE0756411839;1;;;;;;;;;;0;0;0;;;;;;default
2122;WEGNEZ PHILIPPE;1;;;RUE DE LA GROTTE 23;;B-4651;BATTICE;BE;;;087-78.56.31;;087-78.56.31;;;GSM : 0496-028.310;F01959;FR;;;0;1;1;;vciarniello;1;BE0863645042;1;;;;;;;;;;0;0;0;;;;;;default
2123;WELCO-PLAST;1;;;BUSCHBERGER WEG 91;;B-4700;EUPEN;BE;;;087-55.36.11;;087-74.35.65;;;;F01991;FR;;;0;1;1;;vciarniello;1;BE0878275414;1;;;;;;;;;;0;0;0;;;;;;default
2124;WETZEL;1;;;SOLVAYSTRASSE 31;;D-79639;GRENZACH-WYHLEN;DE;;;4976243010;;497624301108;;;GSM M.KOVACIC : 0049-171.362.67.65 - DIR. 0049-76.24.30.12.19 CRISTINA TRITCHLER : 0049-76.24.30.12.20;F01958;FR;;;0;1;1;;vciarniello;3;DE142399112;1;;;;;;;;;;0;0;0;;;;;;default
2125;WH SERIGRAPHIE(SCREEN-DIG;1;;;RUE MONTGOMERY 42;;B-4030;LIEGE;BE;;;04-341.42.74;;04-341.57.65;;;;F02359;FR;;;0;1;1;;vciarniello;1;BE0414480604;1;;;;;;;;;;0;0;0;;;;;;default
2126;WIDEM CORPORATION;1;;;LAR P 19;;B-8930;MENEN;BE;;;056-43.95.21;;056-40.41.77;;;;F02593;FR;;;0;1;1;;vciarniello;1;BE0425067361;1;;;;;;;;;;0;0;0;;;;;;default
2127;WIFAC SA;1;;;HERMESSTRAAT 26;;B-1930;ZAVENTEM;BE;;;02-720.97.55;;02-720.82.20;;;ANCIEN AGENT DE APEX MAIS APEX A MIS FIN A L'AGENCE EN JUIN 2002;F01964;FR;;;0;1;1;;vciarniello;1;BE0420437986;1;;;;;;;;;;0;0;0;;;;;;default
2128;WILIQUET;1;;;PARC INDUSTRIEL DE CHAINEUX;AVENUE DU PARC 25 B;B-4800;VERVIERS;BE;;;087-32.11.59;;087-32.11.51;;;;F02405;FR;;;0;1;1;;vciarniello;1;BE0415887696;1;;;;;;;;;;0;0;0;;;;;;default
2129;WILLEMS A. SPRL;1;;;RUE ROBERT CENTNER 18;;B-4800;VERVIERS;BE;;;087-33.67.57;;087-33.27.48;;;;F01951;FR;;;0;1;1;;vciarniello;1;BE0424748053;1;;;;;;;;;;0;0;0;;;;;;default
2130;WILLEMSENS GARAGE;1;;;PARC INDUSTRIEL DE PETIT-RECHAIN;;B-4650;CHAINEUX;BE;;;087-31.59.49;;087-33.75.15;;;;F02428;FR;;;0;1;1;;vciarniello;1;BE0428164532;1;;;;;;;;;;0;0;0;;;;;;default
